"age","body_type","diet","drinks","drugs","education","height","income","last_online","offspring","orientation","pets","religion","sign","smokes","status","where_state","where_town","religion_modifer","sign_modifer","cpp","cpp_fluently","cpp_okay","cpp_poorly","lisp","lisp_fluently","lisp_okay","lisp_poorly","asian","black","hispanic_latin","indian","middle_eastern","native_american","other","pacific_islander","white","essay_length","art","being","biotech","care","climbing","code","coding","company","computer","computers","dancing","data","developer","ender","engineer","engineering","eyes","family","feynman","firefly","fixing","friend","geek","geeky","girl","hair","heart","honest","im","internet","lab","laugh","law","listening","lol","love","math","matrix","mechanical","name","nerd","old","problems","programmer","programming","relationship","robots","school","science","scientist","silicon","smile","software","solve","solving","startup","stephenson","student","systems","teacher","tech","techie","technical","technology","therapist","true","web","websites","wine","writing"
22,"athletic","other","rarely","never","working_on_college_university",62,"missing",1,"kids_missing","straight","likes_dogs","christianity","taurus","no","single","california","san_francisco","religion_mod_missing","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3.22219604630172,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,"athletic","mostly_anything","socially","never","graduated_from_college_university",62,"missing",1,"kids_missing","straight","has_dogs","catholicism","gemini","no","single","california","berkeley","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.12287092286444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"athletic","diet_missing","socially","drugs_missing","graduated_from_masters_program",67,"missing",5,"doesnt_have_kids_and_doesnt_want_any","straight","dislikes_cats","atheism","libra","no","single","california","berkeley","religion_mod_missing","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.21827285357145,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,"average","diet_missing","socially","drugs_missing","graduated_from_college_university",72,"missing",303,"kids_missing","straight","likes_dogs_and_has_cats","agnosticism","aries","no","single","california","san_francisco","but_not_too_serious_about_it","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.38021124171161,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,"athletic","mostly_anything","socially","drugs_missing","graduated_from_college_university",67,"missing",2,"kids_missing","straight","likes_dogs_and_likes_cats","religion_missing","cancer","no","single","california","san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75019972782918,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,"overweight","diet_missing","socially","never","ed_missing",72,"missing",14,"kids_missing","straight","pets_missing","religion_missing","sign_missing","no","single","california","san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.36847283844036,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"bodytype_missing","diet_missing","socially","drugs_missing","ed_missing",61,"missing",1,"doesnt_have_kids","straight","likes_dogs_and_dislikes_cats","religion_missing","aquarius","yes","single","california","san_francisco","religion_mod_missing","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.18695633546541,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,"fit","diet_missing","socially","drugs_missing","graduated_from_college_university",71,"missing",3,"kids_missing","straight","likes_dogs_and_has_cats","buddhism","scorpio","no","single","california","san_francisco","and_laughing_about_it","but_it_doesnt_matter",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.27783833300205,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"athletic","anything","socially","never","graduated_from_college_university",74,"missing",1,"kids_missing","straight","pets_missing","religion_missing","sign_missing","no","single","california","novato","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.40312052117582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"curvy","mostly_anything","very_often","sometimes","dropped_out_of_space_camp",60,"missing",2,"kids_missing","gay","likes_dogs_and_likes_cats","other","sagittarius","yes","single","california","san_francisco","and_laughing_about_it","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.00987563371216,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"jacked","mostly_anything","socially","never","graduated_from_college_university",69,"inc80000",236,"kids_missing","straight","pets_missing","religion_missing","sign_missing","when_drinking","single","california","san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.84198480459011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"bodytype_missing","diet_missing","socially","never","graduated_from_high_school",66,"missing",37,"doesnt_have_kids_but_wants_them","straight","likes_dogs_and_likes_cats","religion_missing","pisces","trying_to_quit","single","california","burlingame","religion_mod_missing","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.48000694295715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"average","diet_missing","often","never","graduated_from_college_university",70,"missing",1,"kids_missing","straight","has_dogs","religion_missing","aries","smokes_missing","single","california","san_francisco","religion_mod_missing","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.37966803403365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,"average","mostly_anything","rarely","never","graduated_from_college_university",63,"missing",3,"has_kids_but_doesnt_want_more","straight","has_cats","judaism","aquarius","no","single","california","alameda","but_not_too_serious_about_it","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.64325522502477,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,"athletic","diet_missing","often","sometimes","graduated_from_college_university",75,"missing",1,"kids_missing","straight","pets_missing","religion_missing","sign_missing","no","single","california","san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.19256745333655,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,"fit","diet_missing","socially","never","working_on_masters_program",75,"missing",363,"kids_missing","straight","pets_missing","religion_missing","sign_missing","no","single","california","palo_alto","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.52659770910345,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
23,"fit","anything","socially","never","working_on_two_year_college",70,"inc40000",127,"kids_missing","straight","likes_dogs_and_likes_cats","religion_missing","pisces","no","single","california","martinez","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.36116099519503,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"average","diet_missing","socially","never","graduated_from_college_university",70,"missing",127,"kids_missing","gay","likes_dogs_and_likes_cats","agnosticism","taurus","no","single","california","san_francisco","but_not_too_serious_about_it","but_it_doesnt_matter",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.54456409749604,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"athletic","strictly_vegetarian","socially","drugs_missing","working_on_ph_d_program",66,"missing",20,"kids_missing","straight","has_cats","buddhism","libra","no","single","california","oakland","religion_mod_missing","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.49164179347759,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,"full_figured","mostly_anything","socially","never","working_on_law_school",63,"missing",0,"doesnt_have_kids","bisexual","pets_missing","other","gemini","when_drinking","single","california","san_francisco","religion_mod_missing","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.12681301004155,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,"fit","diet_missing","socially","drugs_missing","graduated_from_college_university",71,"inc60000",1,"doesnt_have_kids","straight","likes_dogs","agnosticism","gemini","no","single","california","san_francisco","but_not_too_serious_about_it","and_its_fun_to_think_about",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.84073323461181,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,"thin","mostly_anything","socially","sometimes","working_on_college_university",70,"missing",5,"doesnt_have_kids","straight","likes_dogs_and_has_cats","religion_missing","capricorn","no","single","california","menlo_park","religion_mod_missing","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.51228406328185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"jacked","mostly_halal","desperately","often","ed_missing",77,"missing",320,"kids_missing","gay","pets_missing","islam","sign_missing","when_drinking","married","california","san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.02571538390134,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"average","diet_missing","socially","never","working_on_college_university",63,"missing",1,"kids_missing","straight","has_cats","religion_missing","cancer","no","single","california","san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.42764837118693,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,"bodytype_missing","mostly_anything","socially","never","graduated_from_college_university",67,"missing",9,"doesnt_have_kids","straight","likes_dogs","religion_missing","sign_missing","no","single","california","san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.40243334621931,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,"a_little_extra","mostly_anything","socially","sometimes","working_on_space_camp",69,"missing",96,"kids_missing","straight","has_dogs","catholicism","libra","when_drinking","single","california","san_francisco","and_laughing_about_it","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3.68654689906301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,"full_figured","anything","socially","never","working_on_college_university",66,"missing",12,"doesnt_have_kids_but_might_want_them","straight","has_dogs_and_likes_cats","catholicism","gemini","sometimes","single","california","hayward","but_not_too_serious_about_it","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.21590181320403,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"athletic","anything","socially","never","graduated_from_college_university",64,"missing",2,"has_kids","straight","likes_dogs_and_likes_cats","religion_missing","virgo","no","single","california","belmont","religion_mod_missing","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.19562294358694,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
21,"average","strictly_anything","socially","never","working_on_college_university",62,"missing",3,"doesnt_have_kids","straight","likes_dogs_and_dislikes_cats","christianity","taurus","no","seeing_someone","california","oakland","and_laughing_about_it","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.54666602507018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,"fit","diet_missing","rarely","never","two_year_college",65,"missing",191,"doesnt_want_kids","straight","has_cats","agnosticism","sign_missing","trying_to_quit","single","california","san_rafael","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.57978359661681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"bodytype_missing","vegetarian","socially","never","working_on_ph_d_program",61,"missing",4,"doesnt_have_kids_but_wants_them","straight","dislikes_cats","other","leo","no","single","california","emeryville","and_very_serious_about_it","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3.36172783601759,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,"fit","anything","drinks_missing","drugs_missing","graduated_from_college_university",64,"missing",26,"kids_missing","straight","likes_dogs","religion_missing","sagittarius","smokes_missing","single","california","pacifica","religion_mod_missing","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.68430664607163,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
29,"athletic","anything","socially","never","graduated_from_college_university",67,"missing",2,"doesnt_have_kids_but_wants_them","straight","pets_missing","religion_missing","leo","no","single","california","oakland","religion_mod_missing","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.36810085170935,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"fit","strictly_anything","socially","drugs_missing","graduated_from_college_university",70,"missing",1,"kids_missing","straight","likes_dogs_and_dislikes_cats","religion_missing","pisces","no","single","california","oakland","religion_mod_missing","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.41480627950101,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
34,"a_little_extra","diet_missing","socially","never","working_on_masters_program",70,"missing",3,"has_kids_but_doesnt_want_more","bisexual","pets_missing","other","gemini","no","single","california","oakland","religion_mod_missing","and_it_matters_a_lot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.10482840365366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
27,"thin","diet_missing","socially","never","graduated_from_masters_program",72,"missing",1,"kids_missing","straight","pets_missing","religion_missing","sign_missing","no","single","california","san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.74115159885178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
